Window_Start,Window_End,information,ch1_avg,ch2_avg,ch1_absolute_peak,ch2_absolute_peak,absolute_peak_time,ch1_peak,ch2_peak,peak_time
1.0,6.0,Initial Baseline,628.6682340084279,617.391657464657,,,,,,
467.5,472.5,Baseline Window (5ug/ml / 5ug/ml),628.6628813843769,617.391657464657,628.7533899922623,617.391657464657,407.0,628.7328754304476,617.391657464657,445.0
630.5,635.5,Baseline Window (5ug/ml / 10ug/ml),628.6587429767499,617.391657464657,628.7276820391387,617.391657464657,573.0,628.7154013579081,617.391657464657,608.0
1030.5,1035.5,Baseline Window (10ug/ml / 10ug/ml),628.6500492537195,617.391657464657,628.7748450655691,617.391657464657,976.0,628.7439651022861,617.391657464657,1008.0
1202.5,1207.5,Baseline Window (10ug/ml / 50ug/ml),628.6552284341653,617.391657464657,628.7803249831302,617.391657464657,1143.0,628.7604682838361,617.391657464657,1180.0
1604.5,1609.5,Baseline Window (50ug/ml / 50ug/ml),628.6533530470031,617.391657464657,629.0356253084105,617.391657464657,1550.0,629.0268923431073,617.391657464657,1582.0
1772.5,1777.5,Baseline Window (50ug/ml / 100ug/ml),628.6511533923856,617.391657464657,629.0508759433536,617.391657464657,1717.0,629.026942429586,617.391657464657,1750.0
2121.5,2126.5,Baseline Window (100ug/ml / 100ug/ml),628.6584911344296,617.391657464657,629.4542453416985,617.391657464657,2066.0,629.4370170552676,617.391657464657,2099.0
2292.5,2297.5,Baseline Window (100ug/ml / 200ug/ml),628.6613493715072,617.391657464657,629.45917057804,617.391657464657,2235.0,629.4411332985029,617.391657464657,2270.0
2644.5,2649.5,Baseline Window (200ug/ml / 200ug/ml),628.6720424817045,617.391657464657,630.0361225095795,617.391657464657,2590.0,630.0043974385452,617.391657464657,2622.0
2820.5,2825.5,Baseline Window (200ug/ml / 1000ug/ml),628.6970684041419,617.391657464657,630.040435853902,617.391657464657,2762.0,630.001454024403,617.391657464657,2798.0
3154.5,3159.5,Baseline Window (1000ug/ml / 1000ug/ml),628.6975618075396,617.391657464657,630.4879989241587,617.391657464657,3098.0,630.4331910434524,617.391657464657,3132.0
3329.5,3334.5,Baseline Window (1000ug/ml / 1500ug/ml),628.7184047785947,617.391657464657,630.4981697986437,617.391657464657,3271.0,630.4400800039751,617.391657464657,3307.0
3593.5,3598.5,Baseline Window (1500ug/ml / 1500ug/ml),628.722643319488,617.391657464657,630.5915679813081,617.391657464657,3533.0,630.5207319705484,617.391657464657,3571.0
3785.5,3790.5,Baseline Window (1500ug/ml / Final),628.7349755896552,617.391657464657,630.5892655835054,617.391657464657,3723.0,630.5248906183109,617.391657464657,3763.0
3881.0,3886.0,Final Baseline,628.726696679527,617.391657464657,,,,,,
