Window_Start,Window_End,information,ch1_avg,ch2_avg,ch1_absolute_peak,ch2_absolute_peak,absolute_peak_time,ch1_peak,ch2_peak,peak_time
1.0,6.0,Initial Baseline,629.0877387807096,617.391657464657,,,,,,
490.5,495.5,Baseline Window (5ug/ml / 5ug/ml),629.1206997342537,617.391657464657,629.1932826566856,617.391657464657,403.0,629.0933687142282,617.391657464657,478.0
640.5,645.5,Baseline Window (5ug/ml / 10ug/ml),629.0975204922489,617.391657464657,629.2007769796102,617.391657464657,568.0,629.0960302895039,617.391657464657,618.0
1030.5,1035.5,Baseline Window (10ug/ml / 10ug/ml),629.1295404481084,617.391657464657,629.2513164233883,617.391657464657,971.0,629.230750228518,617.391657464657,1008.0
1197.5,1202.5,Baseline Window (10ug/ml / 50ug/ml),629.127304987776,617.391657464657,629.2525562943276,617.391657464657,1138.0,629.2351134889185,617.391657464657,1175.0
1606.5,1611.5,Baseline Window (50ug/ml / 50ug/ml),629.1351337542276,617.391657464657,629.566802266058,617.391657464657,1547.0,629.541475216567,617.391657464657,1584.0
1774.5,1779.5,Baseline Window (50ug/ml / 100ug/ml),629.1486905738808,617.391657464657,629.5759659579521,617.391657464657,1714.0,629.5652018612218,617.391657464657,1752.0
2123.5,2128.5,Baseline Window (100ug/ml / 100ug/ml),629.1471838940106,617.391657464657,629.928365188406,617.391657464657,2064.0,629.894664717261,617.391657464657,2101.0
2293.5,2298.5,Baseline Window (100ug/ml / 200ug/ml),629.1574825802174,617.391657464657,629.9344567068257,617.391657464657,2232.0,629.8945423831173,617.391657464657,2271.0
2647.5,2652.5,Baseline Window (200ug/ml / 200ug/ml),629.1663568310693,617.391657464657,630.3344105464682,617.391657464657,2585.0,630.3218956382487,617.391657464657,2625.0
2820.5,2825.5,Baseline Window (200ug/ml / 1000ug/ml),629.1855017006701,617.391657464657,630.3458163885264,617.391657464657,2758.0,630.3162953958692,617.391657464657,2798.0
3156.5,3161.5,Baseline Window (1000ug/ml / 1000ug/ml),629.1941163081322,617.391657464657,630.7170058005057,617.391657464657,3094.0,630.6366693979148,617.391657464657,3134.0
3330.5,3335.5,Baseline Window (1000ug/ml / 1500ug/ml),629.2130305301564,617.391657464657,630.715869388868,617.391657464657,3268.0,630.6423365059431,617.391657464657,3308.0
3594.5,3599.5,Baseline Window (1500ug/ml / 1500ug/ml),629.2049261514027,617.391657464657,630.8008529636138,617.391657464657,3530.0,630.7080837780512,617.391657464657,3572.0
3785.5,3790.5,Baseline Window (1500ug/ml / Final),629.2113791849978,617.391657464657,630.8150345032767,617.391657464657,3720.0,630.6839067359068,617.391657464657,3763.0
3879.0,3884.0,Final Baseline,629.2157793786262,617.391657464657,,,,,,
