Window_Start,Window_End,information,ch1_avg,ch2_avg,ch1_absolute_peak,ch2_absolute_peak,absolute_peak_time,ch1_peak,ch2_peak,peak_time
1.0,6.0,Initial Baseline,628.9409457047105,617.391657464657,,,,,,
463.5,468.5,Baseline Window (5ug/ml / 5ug/ml),628.6454208852322,617.391657464657,629.0332530837126,617.391657464657,403.0,628.9881517848293,617.391657464657,441.0
628.5,633.5,Baseline Window (5ug/ml / 10ug/ml),628.6227497063823,617.391657464657,628.9842137230831,617.391657464657,569.0,628.952239630301,617.391657464657,606.0
1029.5,1034.5,Baseline Window (10ug/ml / 10ug/ml),628.6101621133296,617.391657464657,629.2221781535067,617.391657464657,970.0,629.1890029614625,617.391657464657,1007.0
1196.5,1201.5,Baseline Window (10ug/ml / 50ug/ml),628.6047730043199,617.391657464657,629.2184554486577,617.391657464657,1136.0,629.212516924,617.391657464657,1174.0
1603.5,1608.5,Baseline Window (50ug/ml / 50ug/ml),628.6143210570041,617.391657464657,630.1947095828808,617.391657464657,1543.0,630.1693425107615,617.391657464657,1581.0
1771.5,1776.5,Baseline Window (50ug/ml / 100ug/ml),628.6244094395354,617.391657464657,630.1959216711518,617.391657464657,1710.0,630.1653638180705,617.391657464657,1749.0
2119.5,2124.5,Baseline Window (100ug/ml / 100ug/ml),628.6335513333164,617.391657464657,630.4063902476521,617.391657464657,2058.0,630.3623235504845,617.391657464657,2097.0
2289.5,2294.5,Baseline Window (100ug/ml / 200ug/ml),628.6426519207922,617.391657464657,630.4062814054981,617.391657464657,2227.0,630.3247487821931,617.391657464657,2267.0
2643.5,2648.5,Baseline Window (200ug/ml / 200ug/ml),628.6521566010446,617.391657464657,630.5645714958466,617.391657464657,2581.0,630.498928766526,617.391657464657,2621.0
2816.5,2821.5,Baseline Window (200ug/ml / 1000ug/ml),628.6753241886845,617.391657464657,630.5758304333375,617.391657464657,2753.0,630.5044265489802,617.391657464657,2794.0
3153.5,3158.5,Baseline Window (1000ug/ml / 1000ug/ml),628.6966195751495,617.391657464657,630.9299372057136,617.391657464657,3090.0,630.742794984399,617.391657464657,3131.0
3327.5,3332.5,Baseline Window (1000ug/ml / 1500ug/ml),628.7212728195503,617.391657464657,630.9358649899723,617.391657464657,3264.0,630.7444194068779,617.391657464657,3305.0
3590.5,3595.5,Baseline Window (1500ug/ml / 1500ug/ml),628.7250793753158,617.391657464657,630.9809714325954,617.391657464657,3526.0,630.7731487618075,617.391657464657,3568.0
3737.5,3742.5,Baseline Window (1500ug/ml / Final),628.7964149265132,617.391657464657,629.0181045324102,617.391657464657,3715.0,629.0181045324102,617.391657464657,3715.0
3875.0,3880.0,Final Baseline,628.6944612024546,617.391657464657,,,,,,
