date,time,concentration,signal
2026-04-13,08:27:52,5,0.3163636137511503
2026-04-13,08:30:37,5,0.31161120723959357
2026-04-13,08:37:18,10,0.5828354988728961
2026-04-13,08:40:04,10,0.5815090275833654
2026-04-13,08:46:51,50,1.553247771244969
2026-04-13,08:49:38,50,1.5521026693834301
2026-04-13,08:55:27,100,1.7330047764488654
2026-04-13,08:58:16,100,1.7246847005169457
2026-04-13,09:04:10,200,1.8687437018105584
2026-04-13,09:07:03,200,1.8537467241671948
2026-04-13,09:12:40,1000,2.07354976089664
2026-04-13,09:15:34,1000,2.062626165203028
2026-04-13,09:19:56,1500,2.0794247969208755
2026-04-13,09:23:05,1500,0.08252444225900035
