Window_Start,Window_End,information,ch1_avg,ch2_avg,ch1_absolute_peak,ch2_absolute_peak,absolute_peak_time,ch1_peak,ch2_peak,peak_time
1.0,6.0,Initial Baseline,628.9409457047105,617.391657464657,,,,,,
463.5,468.5,Baseline Window (5ug/ml / 5ug/ml),628.6454208852322,617.391657464657,629.0225657798007,617.391657464657,404.0,628.9881517848293,617.391657464657,441.0
628.5,633.5,Baseline Window (5ug/ml / 10ug/ml),628.6227497063823,617.391657464657,628.9842137230831,617.391657464657,569.0,628.952239630301,617.391657464657,606.0
1026.5,1031.5,Baseline Window (10ug/ml / 10ug/ml),628.5978536741057,617.391657464657,629.2221781535067,617.391657464657,970.0,629.1937333709716,617.391657464657,1004.0
1195.5,1200.5,Baseline Window (10ug/ml / 50ug/ml),628.5979945181692,617.391657464657,629.2184554486577,617.391657464657,1136.0,629.1888961649347,617.391657464657,1173.0
1599.5,1604.5,Baseline Window (50ug/ml / 50ug/ml),628.6061102287655,617.391657464657,630.1947095828808,617.391657464657,1543.0,630.1605531918563,617.391657464657,1577.0
1769.5,1774.5,Baseline Window (50ug/ml / 100ug/ml),628.620734171094,617.391657464657,630.1959216711518,617.391657464657,1710.0,630.1591413172887,617.391657464657,1747.0
2115.5,2120.5,Baseline Window (100ug/ml / 100ug/ml),628.6290980113414,617.391657464657,630.403042011843,617.391657464657,2059.0,630.3538111792877,617.391657464657,2093.0
2286.5,2291.5,Baseline Window (100ug/ml / 200ug/ml),628.6363569826666,617.391657464657,630.3995934552232,617.391657464657,2228.0,630.3540532219615,617.391657464657,2264.0
2640.5,2645.5,Baseline Window (200ug/ml / 200ug/ml),628.652994816522,617.391657464657,630.5645714958466,617.391657464657,2581.0,630.4905873046641,617.391657464657,2618.0
2811.5,2816.5,Baseline Window (200ug/ml / 1000ug/ml),628.6688337682006,617.391657464657,630.5741458934245,617.391657464657,2754.0,630.4972826574607,617.391657464657,2789.0
3147.5,3152.5,Baseline Window (1000ug/ml / 1000ug/ml),628.6901202671994,617.391657464657,630.9068901911884,617.391657464657,3089.0,630.7224474806123,617.391657464657,3125.0
3325.5,3330.5,Baseline Window (1000ug/ml / 1500ug/ml),628.7178934241623,617.391657464657,630.903964827225,617.391657464657,3263.0,630.7268603931813,617.391657464657,3303.0
3584.5,3589.5,Baseline Window (1500ug/ml / 1500ug/ml),628.7247338960378,617.391657464657,630.9652900736248,617.391657464657,3525.0,630.7678137905901,617.391657464657,3562.0
3780.5,3785.5,Baseline Window (1500ug/ml / Final),628.6987291193454,617.391657464657,628.8077248712119,617.391657464657,3716.0,628.8364974438853,617.391657464657,3758.0
3875.0,3880.0,Final Baseline,628.6944612024546,617.391657464657,,,,,,
