Window_Start,Window_End,information,ch1_avg,ch2_avg,ch1_peak,ch2_peak,peak_time
1.0,6.0,Initial Baseline,628.6682340084279,617.391657464657,,,
467.5,472.5,Baseline Window (5ug/ml / 5ug/ml),628.6628813843769,617.391657464657,628.7328754304476,617.391657464657,445.0
632.5,637.5,Baseline Window (5ug/ml / 10ug/ml),628.6686121438108,617.391657464657,628.705274249716,617.391657464657,610.0
1034.5,1039.5,Baseline Window (10ug/ml / 10ug/ml),628.6522769623059,617.391657464657,628.7369665567235,617.391657464657,1012.0
1202.5,1207.5,Baseline Window (10ug/ml / 50ug/ml),628.6552284341653,617.391657464657,628.7604682838361,617.391657464657,1180.0
1609.5,1614.5,Baseline Window (50ug/ml / 50ug/ml),628.659595516711,617.391657464657,629.0188261313403,617.391657464657,1587.0
1777.5,1782.5,Baseline Window (50ug/ml / 100ug/ml),628.6523057937396,617.391657464657,629.0384994919852,617.391657464657,1755.0
2126.5,2131.5,Baseline Window (100ug/ml / 100ug/ml),628.6563081689883,617.391657464657,629.4594812657314,617.391657464657,2104.0
2295.5,2300.5,Baseline Window (100ug/ml / 200ug/ml),628.6639457926427,617.391657464657,629.4451612499113,617.391657464657,2273.0
2650.5,2655.5,Baseline Window (200ug/ml / 200ug/ml),628.6764642315176,617.391657464657,630.0184815942591,617.391657464657,2628.0
2823.5,2828.5,Baseline Window (200ug/ml / 1000ug/ml),628.6927040856651,617.391657464657,630.0188323587882,617.391657464657,2801.0
3159.5,3164.5,Baseline Window (1000ug/ml / 1000ug/ml),628.6953166925953,617.391657464657,630.4261803201831,617.391657464657,3137.0
3333.5,3338.5,Baseline Window (1000ug/ml / 1500ug/ml),628.7236793410669,617.391657464657,630.4590840961965,617.391657464657,3311.0
3597.5,3602.5,Baseline Window (1500ug/ml / 1500ug/ml),628.719590880722,617.391657464657,630.5331795055223,617.391657464657,3575.0
3785.5,3790.5,Baseline Window (1500ug/ml / Final),628.7349755896552,617.391657464657,630.5248906183109,617.391657464657,3763.0
3881.0,3886.0,Final Baseline,628.726696679527,617.391657464657,,,
